sample-id	forward-absolute-filepath	reverse-absolute-filepath
FOB01-T6	/home/lohmanne/Qiime2/data/2/OB01FS-F_S14_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB01FS-F_S14_L001_R2_001.fastq.gz
FOB02-T6	/home/lohmanne/Qiime2/data/2/OB02FS-F_S15_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB02FS-F_S15_L001_R2_001.fastq.gz
FOB02-T12	/home/lohmanne/Qiime2/data/2/OB02FS2-F_S31_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB02FS2-F_S31_L001_R2_001.fastq.gz
FOB03-T6	/home/lohmanne/Qiime2/data/2/OB03FS-F_S16_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB03FS-F_S16_L001_R2_001.fastq.gz
FOB03-T12	/home/lohmanne/Qiime2/data/2/OB03FS2-F_S32_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB03FS2-F_S32_L001_R2_001.fastq.gz
FOB04-T6	/home/lohmanne/Qiime2/data/2/OB04FS-F_S17_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB04FS-F_S17_L001_R2_001.fastq.gz
FOB04-T12	/home/lohmanne/Qiime2/data/2/OB04FS2-F_S33_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB04FS2-F_S33_L001_R2_001.fastq.gz
FOB05-T6	/home/lohmanne/Qiime2/data/2/OB05FS-F_S18_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB05FS-F_S18_L001_R2_001.fastq.gz
FOB05-T12	/home/lohmanne/Qiime2/data/2/OB05FS2-F_S34_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB05FS2-F_S34_L001_R2_001.fastq.gz
FOB05-T0	/home/lohmanne/Qiime2/data/2/OB05IS-F_S1_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB05IS-F_S1_L001_R2_001.fastq.gz
FOB06-T6	/home/lohmanne/Qiime2/data/2/OB06FS-F_S19_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB06FS-F_S19_L001_R2_001.fastq.gz
FOB06-T0	/home/lohmanne/Qiime2/data/2/OB06IS-F_S2_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB06IS-F_S2_L001_R2_001.fastq.gz
FOB08-T6	/home/lohmanne/Qiime2/data/2/OB08FS-F_S20_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB08FS-F_S20_L001_R2_001.fastq.gz
FOB09-T6	/home/lohmanne/Qiime2/data/2/OB09FS-F_S21_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB09FS-F_S21_L001_R2_001.fastq.gz
FOB09-T12	/home/lohmanne/Qiime2/data/2/OB09FS2-F_S36_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB09FS2-F_S36_L001_R2_001.fastq.gz
FOB10-T6	/home/lohmanne/Qiime2/data/2/OB10FS-F_S22_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB10FS-F_S22_L001_R2_001.fastq.gz
FOB10-T12	/home/lohmanne/Qiime2/data/2/OB10FS2-F_S37_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB10FS2-F_S37_L001_R2_001.fastq.gz
FOB10-T0	/home/lohmanne/Qiime2/data/2/OB10IS-F_S3_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB10IS-F_S3_L001_R2_001.fastq.gz
FOB11-T6	/home/lohmanne/Qiime2/data/2/OB11FS-F_S23_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB11FS-F_S23_L001_R2_001.fastq.gz
FOB11-T12	/home/lohmanne/Qiime2/data/2/OB11FS2-F_S38_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB11FS2-F_S38_L001_R2_001.fastq.gz
FOB11-T0	/home/lohmanne/Qiime2/data/2/OB11IS-F_S4_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB11IS-F_S4_L001_R2_001.fastq.gz
FOB12-T6	/home/lohmanne/Qiime2/data/2/OB12FS-F_S24_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB12FS-F_S24_L001_R2_001.fastq.gz
FOB12-T12	/home/lohmanne/Qiime2/data/2/OB12FS2-F_S39_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB12FS2-F_S39_L001_R2_001.fastq.gz
FOB12-T0	/home/lohmanne/Qiime2/data/2/OB12IS-F_S5_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB12IS-F_S5_L001_R2_001.fastq.gz
FOB13-T6	/home/lohmanne/Qiime2/data/2/OB13FS-F_S25_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB13FS-F_S25_L001_R2_001.fastq.gz
FOB13-T12	/home/lohmanne/Qiime2/data/2/OB13FS2-F_S40_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB13FS2-F_S40_L001_R2_001.fastq.gz
FOB13-T0	/home/lohmanne/Qiime2/data/2/OB13IS-F_S6_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB13IS-F_S6_L001_R2_001.fastq.gz
FOB14-T6	/home/lohmanne/Qiime2/data/2/OB14FS-F_S26_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB14FS-F_S26_L001_R2_001.fastq.gz
FOB14-T12	/home/lohmanne/Qiime2/data/2/OB14FS2-F_S41_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB14FS2-F_S41_L001_R2_001.fastq.gz
