sample-id	forward-absolute-filepath	reverse-absolute-filepath
CF-positive_2	/home/lohmanne/Qiime2/data/4/CF_positive_positivecontrolfeces_S94_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/CF_positive_positivecontrolfeces_S94_L001_R2_001.fastq.gz
CS-positive_2	/home/lohmanne/Qiime2/data/4/CS_positive_positivecontrolsaliv_S93_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/CS_positive_positivecontrolsaliv_S93_L001_R2_001.fastq.gz
FOB25-T12	/home/lohmanne/Qiime2/data/4/F_OB25FS2_Obese-feces_S26_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/F_OB25FS2_Obese-feces_S26_L001_R2_001.fastq.gz
FOB26-T12	/home/lohmanne/Qiime2/data/4/F_OB26FS2_Obese-feces_S27_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/F_OB26FS2_Obese-feces_S27_L001_R2_001.fastq.gz
FOB27-T12	/home/lohmanne/Qiime2/data/4/F_OB27FS2_Obese-feces_S28_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/F_OB27FS2_Obese-feces_S28_L001_R2_001.fastq.gz
FOB28-T12	/home/lohmanne/Qiime2/data/4/F_OB28FS2_Obese-feces_S29_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/F_OB28FS2_Obese-feces_S29_L001_R2_001.fastq.gz
FOB29-T12	/home/lohmanne/Qiime2/data/4/F_OB29FS2_Obese-feces_S30_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/F_OB29FS2_Obese-feces_S30_L001_R2_001.fastq.gz
FOB30-T12	/home/lohmanne/Qiime2/data/4/F_OB30FS2_Obese-feces_S31_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/F_OB30FS2_Obese-feces_S31_L001_R2_001.fastq.gz
FOB31-T12	/home/lohmanne/Qiime2/data/4/F_OB31FS2_Obese-feces_S32_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/F_OB31FS2_Obese-feces_S32_L001_R2_001.fastq.gz
FOB32-T12	/home/lohmanne/Qiime2/data/4/F_OB32FS2_Obese-feces_S33_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/F_OB32FS2_Obese-feces_S33_L001_R2_001.fastq.gz
FOB34-T6	/home/lohmanne/Qiime2/data/4/F_OB34FS_Obese-feces_S22_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/F_OB34FS_Obese-feces_S22_L001_R2_001.fastq.gz
FOB35-T6	/home/lohmanne/Qiime2/data/4/F_OB35FS_Obese-feces_S23_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/F_OB35FS_Obese-feces_S23_L001_R2_001.fastq.gz
FOB36-T6	/home/lohmanne/Qiime2/data/4/F_OB36FS_Obese-feces_S24_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/F_OB36FS_Obese-feces_S24_L001_R2_001.fastq.gz
S0509-T0	/home/lohmanne/Qiime2/data/4/S_0509_Twins-saliva_S81_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_0509_Twins-saliva_S81_L001_R2_001.fastq.gz
S0510-T0	/home/lohmanne/Qiime2/data/4/S_0510_Twins-saliva_S82_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_0510_Twins-saliva_S82_L001_R2_001.fastq.gz
S0611-T0	/home/lohmanne/Qiime2/data/4/S_0611_Twins-saliva_S83_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_0611_Twins-saliva_S83_L001_R2_001.fastq.gz
